	Unnamed..0	phrase	Rating	 O/N	Commentaires (en français ou anglais)
1	n26fr_2268	:lequipe:  ils tombent tous comme des mouches ...blasant pour les gros matchs qui arrivent :(  D''ailleurs, ils l''ont répété plusieurs fois et bravo à ce jeux très	2	N	
2	r18fr_63	Si le contenu semble trop beau pour être vrai , l''atténuer ou vous pourriez nuire à votre crédibilité.	3	O	
3	f08fr_198	d''immobilisme reste au départ problématique, il est évident que les champions du sommeil cherchent toujours à pêcher en eau trouble avant de se constituer par la suite en victimes (de leurs actes).	3	N	
4	i18fr_4632	Selon moi, cela signifie également développer des liens plus forts avec d''autres nations qui sont sur la même longueur d''onde en dehors de l''Europe - des nations comme l''Australie, la Nouvelle-Zélande, la Corée du Sud ou le Japon.	2	N	
5	r17fr_2480	te forcer un peu,aller vers les autres",etc etc.Le genre de chose qui,en pleine adolescence,vous fiche sincèrement du baume au coeur .Ce fut la fin de l''espérance pour Daniel : les siens ne lui apporteraient jamais rien que de la condescendence.	1	N	
6	n11fr_342	toujours la meilleure chose...  Elle entra le plus discrétement possible, il y avait un silence de mort dans la pièce, le calme avant la tempête sans aucun doute...  Elle se rapprocha doucement de Mia, passant au travers d''un groupe de thaumaturge assez compact	2	N	
7	i09fr_1042	que je me pose au niveau des débats publics, il y a déjà des forums de discussion, je ne suis pas en train de réinventer la roue , mais est-ce qu''il doit y avoir une éthique à l''intérieur de ces forums de discussion, est-ce qu''on peut dire tout et n''	3	N	
8	f14fr_612	me plaît bien , en général si j'' ai le temps je fais un copié collé archivé sur mon blog  C'' était le cas mais autant chercher une aiguille dans une botte de foin ( je suis assez productif en articles et photos là aussi )  cet Engy tout de même quel archiviste fou :  LE CATALAN A DIT SOUS	2	N	
9	a20fr_1437	Mettre de l''huile sur le feu , déverser son fiel sur son ancienne équipe, Anthony Dobbins ne sait pas faire.	3	N	
10	e09fr_1026	[...] Pendant des années, j''ai été amenée à me taper la tête contre les murs ou à me taillader les bras.	1	N	
11	k04fr_4	Le diable se loge dans les détails , dit-on.	4	N	
12	m21fr_61	Même si ces paroles étaient froides et digne de me porter aucun interêt, autant parler à un mur aurait été plus enthousiasme pour lui, je ne pu esquiver un léger sourire qui ne dura que quelques rares instants.	2	N	
13	b20fr_535	Enfin et surtout, l''Etat, actionnaire majoritaire, s''en lave les mains .	3	O ?	
14	k04fr_720	seront plus là pour en rendre compte, et d''analyser la situation du moment au microscope (le diable se nichant souvent dans les détails ).	2	N	
15	s10fr_481	être aimé...  Cris, souffrance, supplication...  Ryuu ne peut rien faire, rien, juste assister à la haine de son père, les mains liés derrière le dos.	2	N	
16	o04fr_2266	Tu ne veux pas comprendre que c''est maintenant ou jamais !!	3	N	
17	s04fr_255	Cette défaite a pour conséquence directe de faire perdre la tête de ce groupe aux hommes de Fethi Jamal qui affronteront cette même équipe Rwandaise Samedi, le match se déroulera au	3	N	
18	n08fr_149	Comme un coup de tonnerre , cette décision du Chef de l''Etat paraissait comme une évidence.	1	O	
19	n18fr_234	De manière générale, ce qui m''a aidée à tenir jusqu''ici, outre l''immense satisfaction de voir ma petite pousser comme un champignon et éclater de santé et de joie de vivre, ça a été de me dire, à chaque moment plus pénible (poussée dentaire, coliques, pic	3	N	
20	f14fr_83	Chercher le coupable revenait à chercher une aiguille dans une botte de foin !	3	N	
21	r03fr_9092	Ses facilité et sa grande intelligence lui permettait de comprendre tout en un clin d''œil , seulement en lisant un livre ou en regardant un schéma.	4	N	
22	c25fr_575	Cela représentait plusieurs milliers de personnes qui l''ont occupée jour et nuit , de manière pacifique.	2	N	
23	m20fr_2662	la prairie en sautant et en grimpant le tire-bouchon qui s''enfonce dans la terre " Et c''est à ce moment là qu''on a perdu le fil de cette phrase improbable.	4	N	
24	s10fr_1021	l''une d''elles, les Égyptiens s''emparent de Jérusalem et emmènent son roi, que nous voyons représenté sur tin monument les mains liées derrière le dos.	2	O ?	
25	f27fr_1585	sais, qu''avec son montant, tout en se tenant dans les bras et se faisant un calin, avec son menton, elle sent que je verse une larme de crocodile , elle ne dit rien, mais je ressens tout.	3	O	
26	n08fr_473	Là je ne peux me retenir, mon rire éclate et se disperse comme un coup de tonnerre , ce qui a pour effet immédiat de stopper les arbalétriers dans une pose un peu ridicule.	4	N	
27	o11fr_1143	Les groupes de presse sont comme les maisons de disques, leurs jours sont comptés ...  L''affaire DSK, c''est leur chant du cygne.	2	N	
28	k10fr_7922	Pénalités décisives  Ironie du sort , il a manqué... un demi-point à l''équipe Brawn – ex-Honda, rebaptisée du nom de son directeur technique l''hiver	3	N	
29	r08fr_1152	Il te dit des trucs dingue quand même, tu as pas les pieds sur terre car tu veux une vie normale??	4	N	
30	o13fr_66	affaires, il pourrait fournir aux employés beaucoup de joie couplé avec optimisme électriques .. Pour commencer actu notre propre chemin en ce qui concerne sa vie comme une alternative à rester pré-occupé par l''absence de fonds concernant le succès.	3	N	
31	i18fr_3136	Faut croire qu''on était pas vraiment sur la même longueur d''ondes , on a juste arrêter de s''entendre alors j''ai préférer en rester là !	3	N	
32	f08fr_17	Lorsque nous refusons le terrorisme et le condamnons, nous désapprouvons ceux qui pêchent en eau trouble , qui altèrent les valeurs de la religion, et qui se servent de la vague de terrorisme afin d''attaquer les bases de la	5	N	
33	p10fr_166	arrivent dans une cave, comme celle des Biotteau, au Domaine d''Avrillé à Saint Jean des Mauvrets, ils sont accueillis à bras ouverts .	4	O	
34	r17fr_3232	C''est pas une carte musique à 50 euros qui va lui mettre du baume au coeur !	4	N	
35	i18fr_1495	n''est pas d''avoir un effectif influent mais plutôt d''avoir des femmes qui véhiculent des valeurs communes et qui sont sur la même longueur d''onde .	2	N ?	
36	e10fr_1938	il y a les gentils du Hamas d''un côté... et de l''autre, plein de méchants américains, occidentaux et israeliens armés jusqu''au dents et prêt pour le génocide du siècle.	3	N	
37	e17fr_159	En effet, je l''avais entendu lire à l''Eglise et c''était entré par une oreille et sorti par l''autre.	1	N	
38	n08fr_813	Est-ce ce combat qui incite à (...)  Les prédictions du pasteur Malthus (1766-1834) résonnent comme un coup de tonnerre dans le ciel serein de l''optimisme des Lumières.	2	N	
39	k21fr_978	Chaque génération, depuis 100 000 ans, a creusé ses tombes et, depuis 7 500 ans, travaillé le sol, modelé le paysage, tracé des chemins.	4	N	
40	p01fr_3480	Re: Livre d''or  "Bonjour Je découvre le site et je tire mon chapeau à l''auteur pour le travail accompli.	2	N	
41	f14fr_588	Vous cherchez le meilleur parmi un large éventail de ces organismes, c''est comme chercher une aiguille dans une botte de foin .	3	O	
