"","Unnamed..0","idiom_id","language_id","domain_id","super_domain_name","domain_name","Reference","Left","KWIC","Right","sentence_clean","context_clean","NLP_town_stars_context_window","NLP_town_stars_sentence","Cardiff_NLP_context_window","Cardiff_NLP_sentence"
"1","p01ge_7669","p01ge","ge","p","culture","gestures_postures_facial_expressions","vogtlandspiegel.de","äußerte. </s><s> Dem stimmten die Gäste einhellig zu, die auch vor den Organisatoren, der Freiwilligen Feuerwehr Greiz,","den Hut","zogen . </s> <gap/> <gap/> <gap/> <s> Es wurde zur besseren Luftzirkulation ein Lüfter an die Eingangstür gestellt. </s><s> Die Küche","Dem stimmten die Gäste einhellig zu, die auch vor den Organisatoren, der Freiwilligen Feuerwehr Greiz, den Hut zogen .","äußerte.  Dem stimmten die Gäste einhellig zu, die auch vor den Organisatoren, der Freiwilligen Feuerwehr Greiz, den Hut zogen .      Es wurde zur besseren Luftzirkulation ein Lüfter an die Eingangstür gestellt.  Die Küche",1,1,0,0
"2","k23ge_319","k23ge","ge","k","culture","special_concepts_world","stalinwerke.de","sagen. </s><s> Es ist dies ein Forum zur Rehabilitierung des DDR-Revisionismus, nichts weiter. </s><s> Stalin würde sich im","Grab","umdrehen , wenn er dies hier lesen würde! </s> <gap/> <gap/> <s> Aufgrund der Verwendung des Begriffes ""DDR-Revisionismus""","Stalin würde sich im Grab umdrehen , wenn er dies hier lesen würde!","sagen.  Es ist dies ein Forum zur Rehabilitierung des DDR-Revisionismus, nichts weiter.  Stalin würde sich im Grab umdrehen , wenn er dies hier lesen würde!     Aufgrund der Verwendung des Begriffes ""DDR-Revisionismus""",1,1,-1,-1
"3","m20ge_4963","m20ge","ge","m","culture","material_culture_money_living","thw-provinzial.de","( 25:24 ) gegen Berlin fast in Luft aufgelöst. </s><s> Nach souveränem Start und einer Sechs-Tore-Führung verloren die Kieler","den Faden",". </s><s> Jicha war es, der klaren Kopf behielt. </s><s> Der Tscheche übernahm Verantwortung, sicherte seinem Team mit elf Toren gegen","Nach souveränem Start und einer Sechs-Tore-Führung verloren die Kieler den Faden .","( 25:24 ) gegen Berlin fast in Luft aufgelöst.  Nach souveränem Start und einer Sechs-Tore-Führung verloren die Kieler den Faden .  Jicha war es, der klaren Kopf behielt.  Der Tscheche übernahm Verantwortung, sicherte seinem Team mit elf Toren gegen",1,1,-1,-1
"4","o12ge_1078","o12ge","ge","o","natural_phenomena","time_space","apollis.de","<s> Der Kampf ist offiziell beendet. </s><s> Die Warenhauskette Hertie ist endgültig insolvent. </s><s> Im Sommer 2009 schlägt das","letzte Stündlein","für das Warenhaus. </s><s> Laut Zeit Online werden alle 54 Standorte von Hertie sowie der Sitz des Unternehmens in Essen","Im Sommer 2009 schlägt das letzte Stündlein für das Warenhaus."," Der Kampf ist offiziell beendet.  Die Warenhauskette Hertie ist endgültig insolvent.  Im Sommer 2009 schlägt das letzte Stündlein für das Warenhaus.  Laut Zeit Online werden alle 54 Standorte von Hertie sowie der Sitz des Unternehmens in Essen",1,1,0,-1
"5","o04ge_3483","o04ge","ge","o","natural_phenomena","time_space","kmu-hofmann.de",": Tatort Bildungsakademie – Marketing im Fadenkreuz </s> <gap/> <gap/> <s> 26. Februar 2011: Katja Hofmann referiert ""","Jetzt oder NIE",": Vorsprung durch Gänsehaut- Marketing mit Mehrwert in der IHK Esslingen. </s><s> Die Fähigkeit, Menschen für uns zu gewinnen","Februar 2011: Katja Hofmann referiert "" Jetzt oder NIE : Vorsprung durch Gänsehaut- Marketing mit Mehrwert in der IHK Esslingen.",": Tatort Bildungsakademie – Marketing im Fadenkreuz     26. Februar 2011: Katja Hofmann referiert "" Jetzt oder NIE : Vorsprung durch Gänsehaut- Marketing mit Mehrwert in der IHK Esslingen.  Die Fähigkeit, Menschen für uns zu gewinnen",1,1,0,0
"6","r09ge_82","r09ge","ge","r","natural_phenomena","physical_reactions_sensations","spreewaldkicker.de","mehr Salz ins Feuer zu gießen, fand ich diesen Artikel... </s><s> "" Willst du jetzt kein Öl ins Feuer gießen oder doch lieber kein","Salz in die Wunde","streuen? </s><s> MfG </s><s> Holmes 24 Juni 2010 23:42 | </s><s> # 213 </s><s> Vorab: Schön das das Gästebuch hier etwas häufiger genutzt wird und ein","mehr Salz ins Feuer zu gießen, fand ich diesen Artikel...  "" Willst du jetzt kein Öl ins Feuer gießen oder doch lieber kein Salz in die Wunde streuen?","mehr Salz ins Feuer zu gießen, fand ich diesen Artikel...  "" Willst du jetzt kein Öl ins Feuer gießen oder doch lieber kein Salz in die Wunde streuen?  MfG  Holmes 24 Juni 2010 23:42 |  # 213  Vorab: Schön das das Gästebuch hier etwas häufiger genutzt wird und ein",1,1,-1,1
"7","o04ge_1254","o04ge","ge","o","natural_phenomena","time_space","golyr.de","dann fick ich sie auch denn kein schwanz geht tiefer als mein bass in ihren bauch. </s> <gap/> <s> gib mir alles oder nichts","jetzt oder nie","für tracks wie erdbeben ausserdem schock ich mit ner optik voll derben schäden fertich die autentische","gib mir alles oder nichts jetzt oder nie für tracks wie erdbeben ausserdem schock ich mit ner optik voll derben schäden fertich die autentische","dann fick ich sie auch denn kein schwanz geht tiefer als mein bass in ihren bauch.    gib mir alles oder nichts jetzt oder nie für tracks wie erdbeben ausserdem schock ich mit ner optik voll derben schäden fertich die autentische",1,1,-1,-1
"8","n26ge_522","n26ge","ge","n","natural_phenomena","forces_of_nature","der-privatanleger.de","die einfach in Unternehmen haben investiert, die keine Ahnung hatten. </s><s> In the Bay Area sterben die IT Buden grad weg","wie die Fliegen",". </s><s> Da gab es ganz abstruse Ideen, wie gewisse Transaktionen (Schritte von Unternehmensprozessen) als einziger auf der","In the Bay Area sterben die IT Buden grad weg wie die Fliegen .","die einfach in Unternehmen haben investiert, die keine Ahnung hatten.  In the Bay Area sterben die IT Buden grad weg wie die Fliegen .  Da gab es ganz abstruse Ideen, wie gewisse Transaktionen (Schritte von Unternehmensprozessen) als einziger auf der",1,1,-1,-1
"9","p05ge_2117","p05ge","ge","p","culture","gestures_postures_facial_expressions","wdr.de","Genc Respekt zollt. </s><s> Ich meine es ergibt doch einfach keinen Sinn, Respekt vor der Haltung zu haben, und gleichzeitig","mit dem Finger","auf sonst wen zu zeigen ... </s><s> ( </s> <gap/> <s> Es ist wirklich unglaublich traurig und schlimm was da passiert ist! </s><s> Mir tut die","Ich meine es ergibt doch einfach keinen Sinn, Respekt vor der Haltung zu haben, und gleichzeitig mit dem Finger auf sonst wen zu zeigen ...  (    Es ist wirklich unglaublich traurig und schlimm was da passiert ist!","Genc Respekt zollt.  Ich meine es ergibt doch einfach keinen Sinn, Respekt vor der Haltung zu haben, und gleichzeitig mit dem Finger auf sonst wen zu zeigen ...  (    Es ist wirklich unglaublich traurig und schlimm was da passiert ist!  Mir tut die",1,1,-1,-1
"10","m04ge_8595","m04ge","ge","m","culture","material_culture_money_living","iphone-ticker.de","billiges fleisch, jedoch nur qualitativ schrott!! </s><s> die gesellschaft ist echt so verblödet und wird nur noch von sparen","um jeden preis","getrieben! </s> <gap/> <s> 1. von allen Leuten die ich kenne haben max 1% iMessage eingeschaltet . . . ja, tatsächlich man muss","die gesellschaft ist echt so verblödet und wird nur noch von sparen um jeden preis getrieben!","billiges fleisch, jedoch nur qualitativ schrott!!  die gesellschaft ist echt so verblödet und wird nur noch von sparen um jeden preis getrieben!    1. von allen Leuten die ich kenne haben max 1% iMessage eingeschaltet . . . ja, tatsächlich man muss",1,1,-1,-1
