"","Unnamed..0","idiom_id","language_id","domain_id","super_domain_name","domain_name","Reference","Left","KWIC","Right","sentence_clean","context_clean","NLP_town_stars_context_window","NLP_town_stars_sentence","Cardiff_NLP_context_window","Cardiff_NLP_sentence"
"1","m04en_4014","m04en","en","m","culture","material_culture_money_living","utlm.org","one pound of anything. </s><s> Mrs Horne''s Migrations, MS., 30. </s><s> brought into the valley in the spring, they were eagerly bought","at any price",". </s><s> From four small ones, costing fifty cents, was obtained a bushel of good-sized potatoes which were saved for seed. </s><s> The","Mrs Horne''s Migrations, MS., 30.  brought into the valley in the spring, they were eagerly bought at any price .","one pound of anything.  Mrs Horne''s Migrations, MS., 30.  brought into the valley in the spring, they were eagerly bought at any price .  From four small ones, costing fifty cents, was obtained a bushel of good-sized potatoes which were saved for seed.  The",5,1,0,0
"2","f08en_43","f08en","en","f","intertextuality","fables_folk_narratives","epdf.tips",". 276 The Rat and the mayor were forced to flee into neighboring Burtscheid; the duke of Jiilich–always eager to fish","in troubled waters","in order to extend his rights in the city–marched his troops into Aachen under the pretext of reestablishing law and","276 The Rat and the mayor were forced to flee into neighboring Burtscheid; the duke of Jiilich–always eager to fish in troubled waters in order to extend his rights in the city–marched his troops into Aachen under the pretext of reestablishing law and",". 276 The Rat and the mayor were forced to flee into neighboring Burtscheid; the duke of Jiilich–always eager to fish in troubled waters in order to extend his rights in the city–marched his troops into Aachen under the pretext of reestablishing law and",1,1,-1,-1
"3","s04en_1405","s04en","en","s","natural_phenomena","human_body","20m.com","in a grey suit and wearing grey gloves, had been pointed out to a young Nazi soldier as a suspicious figure. </s><s> The youth had","lost his head",", and had fired at the man in grey, who believing himself attacked by French terrorists, had fired back, killing both the","The youth had lost his head , and had fired at the man in grey, who believing himself attacked by French terrorists, had fired back, killing both the","in a grey suit and wearing grey gloves, had been pointed out to a young Nazi soldier as a suspicious figure.  The youth had lost his head , and had fired at the man in grey, who believing himself attacked by French terrorists, had fired back, killing both the",1,1,-1,-1
"4","a20en_2321","a20en","en","a","intertextuality","ancient_sources","tigerdroppings.com","pm to Random LSU Hero </s><s> agreed but bc 2nd half Devin White will be out there first series and the place will be on fire. </s> <s> Add jet","fuel to the fire","he should come out wearing #7 after half time </s><s> re: If you''re LSU and you win the toss vs Bama, you gotta receive... </s><s> Posted by","Add jet fuel to the fire he should come out wearing #7 after half time  re: If you''re LSU and you win the toss vs Bama, you gotta receive...  Posted by","pm to Random LSU Hero  agreed but bc 2nd half Devin White will be out there first series and the place will be on fire.   Add jet fuel to the fire he should come out wearing #7 after half time  re: If you''re LSU and you win the toss vs Bama, you gotta receive...  Posted by",1,1,0,0
"5","i05en_629","i05en","en","i","culture","intellectual_technical_achievements","liverenewed.com","to live frugally and save money, one of the ways that I''ve cut back is by not really purchasing much for myself. </s><s> I can count","on one hand","the items that I have bought new for myself at a regular store, and probably on two hands the items that I have purchased","I can count on one hand the items that I have bought new for myself at a regular store, and probably on two hands the items that I have purchased","to live frugally and save money, one of the ways that I''ve cut back is by not really purchasing much for myself.  I can count on one hand the items that I have bought new for myself at a regular store, and probably on two hands the items that I have purchased",3,1,0,1
"6","k04en_4366","k04en","en","k","culture","special_concepts_world","gozonews.com",", an average of €400 per person and made no announcement on the creation of new employment. </s><s> He added that ""the devil was","in the detail",""" saying that some of the measures ""were gimmicks"" with the announced reduction in utility tariffs, costing around €25","He added that ""the devil was in the detail "" saying that some of the measures ""were gimmicks"" with the announced reduction in utility tariffs, costing around €25",", an average of €400 per person and made no announcement on the creation of new employment.  He added that ""the devil was in the detail "" saying that some of the measures ""were gimmicks"" with the announced reduction in utility tariffs, costing around €25",2,1,-1,-1
"7","k10en_63","k10en","en","k","culture","special_concepts_world","explorerussian.com","encoding either you are a Windows or a Mac user. </s><s> Learn Russian cases through One Film </s><s> In the above table I put the film","Irony of Fate","first. </s><s> That was not by chance. </s><s> I learned most of my Russian as a beginner through that film. </s><s> I watched that film so many","Learn Russian cases through One Film  In the above table I put the film Irony of Fate first.","encoding either you are a Windows or a Mac user.  Learn Russian cases through One Film  In the above table I put the film Irony of Fate first.  That was not by chance.  I learned most of my Russian as a beginner through that film.  I watched that film so many",4,1,0,0
"8","n18en_340","n18en","en","n","natural_phenomena","forces_of_nature","findlaw.com","of such volume that the Government had to pay respect to it. </s><s> The anti-American movement spread, associations sprang up","like mushrooms","to deal with the matter."" </s><s> McWilliams, Prejudice (1944), p. 46. </s><s> [ Footnote 9 ] Report of California State Board of","The anti-American movement spread, associations sprang up like mushrooms to deal with the matter.""","of such volume that the Government had to pay respect to it.  The anti-American movement spread, associations sprang up like mushrooms to deal with the matter.""  McWilliams, Prejudice (1944), p. 46.  [ Footnote 9 ] Report of California State Board of",1,1,-1,-1
"9","c25en_4544","c25en","en","c","intertextuality","ancient_sources","teachinghearts.org","process is not eternal. </s><s> Heaven will last forever because the gift of God is irreversible. </s><s> Day And Night Ends. </s><s> Until","day and night","no longer exist. </s><s> The Eternal Fires Of Sodom And Gomorrah""Even as Sodom and Gomorrah, and the cities about them in like","Until day and night no longer exist.","process is not eternal.  Heaven will last forever because the gift of God is irreversible.  Day And Night Ends.  Until day and night no longer exist.  The Eternal Fires Of Sodom And Gomorrah""Even as Sodom and Gomorrah, and the cities about them in like",1,1,0,0
"10","n01en_62","n01en","en","n","natural_phenomena","forces_of_nature","notable-quotes.com","what it is all aboutAfter midnight </s><s> We are being sacrificed by our own suspicionsWe are being sodomized by repetitions </s><s>","Between two fires","we collect our thoughtsAre we all just liars? </s><s> And our truth is only boughtFor it''s suspicion that turns it''s back on","what it is all aboutAfter midnight  We are being sacrificed by our own suspicionsWe are being sodomized by repetitions  Between two fires we collect our thoughtsAre we all just liars?","what it is all aboutAfter midnight  We are being sacrificed by our own suspicionsWe are being sodomized by repetitions  Between two fires we collect our thoughtsAre we all just liars?  And our truth is only boughtFor it''s suspicion that turns it''s back on",1,1,-1,-1
