	Unnamed..0	idiom_id	language_id	domain_id	super_domain_name	domain_name	Reference	Left	KWIC	Right	sentence_clean	context_clean	NLP_town_stars_context_window	NLP_town_stars_sentence	Cardiff_NLP_context_window	Cardiff_NLP_sentence
12	n26fr_2268	n26fr	fr	n	natural_phenomena	forces_of_nature	wearepes.com	, grippé également, ayant lui aussi renoncé à quelques heures du coup d''envoi à San Mames. </s><s> :lequipe: </s><s> ils tombent tous	comme des mouches	...blasant pour les gros matchs qui arrivent :( </s><s> D''ailleurs, ils l''ont répété plusieurs fois et bravo à ce jeux très	:lequipe:  ils tombent tous comme des mouches ...blasant pour les gros matchs qui arrivent :(  D''ailleurs, ils l''ont répété plusieurs fois et bravo à ce jeux très	, grippé également, ayant lui aussi renoncé à quelques heures du coup d''envoi à San Mames.  :lequipe:  ils tombent tous comme des mouches ...blasant pour les gros matchs qui arrivent :(  D''ailleurs, ils l''ont répété plusieurs fois et bravo à ce jeux très	3	2	-1	-1
13	r18fr_63	r18fr	fr	r	natural_phenomena	physical_reactions_sensations	artikkelgarden.com	de les attribuer. </s><s> Évitez de fluff et add-ons. </s><s> Et ne jamais faire quelque chose en place. </s><s> Si le contenu semble	trop beau pour être vrai	, l''atténuer ou vous pourriez nuire à votre crédibilité. </s><s> 6. </s><s> Inclure des informations sur les sociétés: Le communiqué	Si le contenu semble trop beau pour être vrai , l''atténuer ou vous pourriez nuire à votre crédibilité.	de les attribuer.  Évitez de fluff et add-ons.  Et ne jamais faire quelque chose en place.  Si le contenu semble trop beau pour être vrai , l''atténuer ou vous pourriez nuire à votre crédibilité.  6.  Inclure des informations sur les sociétés: Le communiqué	2	2	-1	-1
27	f08fr_198	f08fr	fr	f	intertextuality	fables_folk_narratives	nordblogs.com	d''immobilisme reste au départ problématique, il est évident que les champions du sommeil cherchent toujours à pêcher	en eau trouble	avant de se constituer par la suite en victimes (de leurs actes). </s><s> J''avais très récemment proposé à mes compatriotes un	d''immobilisme reste au départ problématique, il est évident que les champions du sommeil cherchent toujours à pêcher en eau trouble avant de se constituer par la suite en victimes (de leurs actes).	d''immobilisme reste au départ problématique, il est évident que les champions du sommeil cherchent toujours à pêcher en eau trouble avant de se constituer par la suite en victimes (de leurs actes).  J''avais très récemment proposé à mes compatriotes un	3	3	-1	-1
36	i18fr_4632	i18fr	fr	i	culture	intellectual_technical_achievements	avoixautre.be	valeurs communes. </s><s> Selon moi, cela signifie également développer des liens plus forts avec d''autres nations qui sont	sur la même longueur d''onde	en dehors de l''Europe - des nations comme l''Australie, la Nouvelle-Zélande, la Corée du Sud ou le Japon. </s><s> L''OTAN n''est	Selon moi, cela signifie également développer des liens plus forts avec d''autres nations qui sont sur la même longueur d''onde en dehors de l''Europe - des nations comme l''Australie, la Nouvelle-Zélande, la Corée du Sud ou le Japon.	valeurs communes.  Selon moi, cela signifie également développer des liens plus forts avec d''autres nations qui sont sur la même longueur d''onde en dehors de l''Europe - des nations comme l''Australie, la Nouvelle-Zélande, la Corée du Sud ou le Japon.  L''OTAN n''est	4	4	1	1
44	r17fr_2480	r17fr	fr	r	natural_phenomena	physical_reactions_sensations	forumsactifs.net	te forcer un peu,aller vers les autres",etc etc.Le genre de chose qui,en pleine adolescence,vous fiche sincèrement	du baume au coeur	.Ce fut la fin de l''espérance pour Daniel : les siens ne lui apporteraient jamais rien que de la condescendence.	te forcer un peu,aller vers les autres",etc etc.Le genre de chose qui,en pleine adolescence,vous fiche sincèrement du baume au coeur .Ce fut la fin de l''espérance pour Daniel : les siens ne lui apporteraient jamais rien que de la condescendence.	te forcer un peu,aller vers les autres",etc etc.Le genre de chose qui,en pleine adolescence,vous fiche sincèrement du baume au coeur .Ce fut la fin de l''espérance pour Daniel : les siens ne lui apporteraient jamais rien que de la condescendence.	5	5	-1	-1
50	n11fr_342	n11fr	fr	n	natural_phenomena	forces_of_nature	forumsfree.org	toujours la meilleure chose... </s><s> Elle entra le plus discrétement possible, il y avait un silence de mort dans la pièce, le	calme avant la tempête	sans aucun doute... </s><s> Elle se rapprocha doucement de Mia, passant au travers d''un groupe de thaumaturge assez compact	toujours la meilleure chose...  Elle entra le plus discrétement possible, il y avait un silence de mort dans la pièce, le calme avant la tempête sans aucun doute...  Elle se rapprocha doucement de Mia, passant au travers d''un groupe de thaumaturge assez compact	toujours la meilleure chose...  Elle entra le plus discrétement possible, il y avait un silence de mort dans la pièce, le calme avant la tempête sans aucun doute...  Elle se rapprocha doucement de Mia, passant au travers d''un groupe de thaumaturge assez compact	5	5	1	1
31	i09fr_1042	i09fr	fr	i	culture	intellectual_technical_achievements	communautique.qc.ca	que je me pose au niveau des débats publics, il y a déjà des forums de discussion, je ne suis pas en train de réinventer	la roue	, mais est-ce qu''il doit y avoir une éthique à l''intérieur de ces forums de discussion, est-ce qu''on peut dire tout et n''	que je me pose au niveau des débats publics, il y a déjà des forums de discussion, je ne suis pas en train de réinventer la roue , mais est-ce qu''il doit y avoir une éthique à l''intérieur de ces forums de discussion, est-ce qu''on peut dire tout et n''	que je me pose au niveau des débats publics, il y a déjà des forums de discussion, je ne suis pas en train de réinventer la roue , mais est-ce qu''il doit y avoir une éthique à l''intérieur de ces forums de discussion, est-ce qu''on peut dire tout et n''	4	4	-1	-1
21	f14fr_612	f14fr	fr	f	intertextuality	fables_folk_narratives	blog4ever.com	me plaît bien , en général si j'' ai le temps je fais un copié collé archivé sur mon blog </s><s> C'' était le cas mais autant chercher	une aiguille dans une botte de foin	( je suis assez productif en articles et photos là aussi ) </s><s> cet Engy tout de même quel archiviste fou : </s><s> LE CATALAN A DIT SOUS	me plaît bien , en général si j'' ai le temps je fais un copié collé archivé sur mon blog  C'' était le cas mais autant chercher une aiguille dans une botte de foin ( je suis assez productif en articles et photos là aussi )  cet Engy tout de même quel archiviste fou :  LE CATALAN A DIT SOUS	me plaît bien , en général si j'' ai le temps je fais un copié collé archivé sur mon blog  C'' était le cas mais autant chercher une aiguille dans une botte de foin ( je suis assez productif en articles et photos là aussi )  cet Engy tout de même quel archiviste fou :  LE CATALAN A DIT SOUS	3	3	1	1
11	a20fr_1437	a20fr	fr	a	intertextuality	ancient_sources	lanr.fr	qui l''a mis dehors en octobre. </s><s> " Ça ne sera pas une revanche ", jure-t-il toutefois. </s><s> Ce n''est pas son genre, non. </s> <s> Mettre	de l''huile sur le feu	, déverser son fiel sur son ancienne équipe, Anthony Dobbins ne sait pas faire. </s><s> Lui, le joueur bien élevé, discret, qui	Mettre de l''huile sur le feu , déverser son fiel sur son ancienne équipe, Anthony Dobbins ne sait pas faire.	qui l''a mis dehors en octobre.  " Ça ne sera pas une revanche ", jure-t-il toutefois.  Ce n''est pas son genre, non.   Mettre de l''huile sur le feu , déverser son fiel sur son ancienne équipe, Anthony Dobbins ne sait pas faire.  Lui, le joueur bien élevé, discret, qui	1	2	-1	-1
18	e09fr_1026	e09fr	fr	e	intertextuality	proverbs	purepeople.com	au monde, comment voulez-vous qu''il n''en reste pas des traces à vie ? [...] Pendant des années, j''ai été amenée à me taper	la tête contre les murs	ou à me taillader les bras. </s><s> Pour que l''on m''aime ." De quoi traîner des séquelles qui gangrènent les relations futures : "	[...] Pendant des années, j''ai été amenée à me taper la tête contre les murs ou à me taillader les bras.	au monde, comment voulez-vous qu''il n''en reste pas des traces à vie ? [...] Pendant des années, j''ai été amenée à me taper la tête contre les murs ou à me taillader les bras.  Pour que l''on m''aime ." De quoi traîner des séquelles qui gangrènent les relations futures : "	2	2	-1	1
40	k04fr_4	k04fr	fr	k	culture	special_concepts_world	droitdenaitre.org	, guidé par le bien commun, de ce maillage étroit quotidien entre familles, écoles et entreprises . Le diable se loge	dans les détails	, dit-on. </s><s> Dieu, pour sa part, aime que notre vie quotidienne soit en conformité avec notre foi. </s><s> Dans les programmes, il	Le diable se loge dans les détails , dit-on.	, guidé par le bien commun, de ce maillage étroit quotidien entre familles, écoles et entreprises . Le diable se loge dans les détails , dit-on.  Dieu, pour sa part, aime que notre vie quotidienne soit en conformité avec notre foi.  Dans les programmes, il	5	4	0	1
8	m21fr_61	m21fr	fr	m	culture	material_culture_money_living	1fr1.net	qu''on me tolère, pour une fois. </s><s> Même si ces paroles étaient froides et digne de me porter aucun interêt, autant parler	à un mur	aurait été plus enthousiasme pour lui, je ne pu esquiver un léger sourire qui ne dura que quelques rares instants. </s><s> Quand	Même si ces paroles étaient froides et digne de me porter aucun interêt, autant parler à un mur aurait été plus enthousiasme pour lui, je ne pu esquiver un léger sourire qui ne dura que quelques rares instants.	qu''on me tolère, pour une fois.  Même si ces paroles étaient froides et digne de me porter aucun interêt, autant parler à un mur aurait été plus enthousiasme pour lui, je ne pu esquiver un léger sourire qui ne dura que quelques rares instants.  Quand	2	1	1	1
