	Unnamed..0	sentence	Rating	Figurative	Comments
1	p01ge_7669	Dem stimmten die Gäste einhellig zu, die auch vor den Organisatoren, der Freiwilligen Feuerwehr Greiz, den Hut zogen .	4	n	
2	k23ge_319	Stalin würde sich im Grab umdrehen , wenn er dies hier lesen würde!	1	n	
3	m20ge_4963	Nach souveränem Start und einer Sechs-Tore-Führung verloren die Kieler den Faden .	2	n	
4	o12ge_1078	Im Sommer 2009 schlägt das letzte Stündlein für das Warenhaus.	1	n	
5	o04ge_3483	Februar 2011: Katja Hofmann referiert " Jetzt oder NIE : Vorsprung durch Gänsehaut- Marketing mit Mehrwert in der IHK Esslingen.	3		cant say if fig or literal, not sure what the idom is
6	r09ge_82	mehr Salz ins Feuer zu gießen, fand ich diesen Artikel...  " Willst du jetzt kein Öl ins Feuer gießen oder doch lieber kein Salz in die Wunde streuen?	3	n	
7	o04ge_1254	gib mir alles oder nichts jetzt oder nie für tracks wie erdbeben ausserdem schock ich mit ner optik voll derben schäden fertich die autentische	3		cant say
8	n26ge_522	In the Bay Area sterben die IT Buden grad weg wie die Fliegen .	1	n	
9	p05ge_2117	Ich meine es ergibt doch einfach keinen Sinn, Respekt vor der Haltung zu haben, und gleichzeitig mit dem Finger auf sonst wen zu zeigen ...  (    Es ist wirklich unglaublich traurig und schlimm was da passiert ist!	1	n	
10	m04ge_8595	die gesellschaft ist echt so verblödet und wird nur noch von sparen um jeden preis getrieben!	1		cant say
11	k10ge_750	Ironie des Schicksals : anstatt die Betaversion kompliziert als APK-Datei an Facebook-Benutzer zu verteilen, geht man den offiziellen Weg	2		cant say
12	e21ge_1711	Oft werden die Kinder mit einem strikten Verbot belegt: Mit dem Feuer zu spielen ist tabu!	2	y	
13	o11ge_3391	Bogislav-Tessen von Gerlach ́s Tage sind gezählt und es wird ein Landrat benötigt, der den Stall im Kreishaus mal endlich aufräumt.	2	n	
14	m08ge_717	Der Mann ist eine wahre Goldgrube .	5	n	
15	r01ge_749	Deshalb müsse das UNHCR den Gürtel enger schnallen .	2	n	
