"X","Unnamed..0","Unnamed..0.1","idiom_id_only","idiom_id","language_id","domain_id","super_domain_name","domain_name","Reference","Left","KWIC","Right","sentence_clean","context_clean","NLP_town_stars_context_window","NLP_town_stars_sentence","Cardiff_NLP_context_window","Cardiff_NLP_sentence","relative_frequency"
133278,133278,"c26en_4504","c26","c26en","en","c","intertextuality","ancient_sources","cgg.org",", each for his iniquity, while every hand hangs limp and every knee turns to water. </s><s> They will go in sackcloth, shuddering","from head to foot",", with faces downcast and heads close shaved. </s><s> They will fling their silver into the street and treat their gold like so","They will go in sackcloth, shuddering from head to foot , with faces downcast and heads close shaved.",", each for his iniquity, while every hand hangs limp and every knee turns to water.  They will go in sackcloth, shuddering from head to foot , with faces downcast and heads close shaved.  They will fling their silver into the street and treat their gold like so",2,2,-1,-1,6.55901791305844e-07
128914,128914,"c26en_140","c26","c26en","en","c","intertextuality","ancient_sources","generationword.com","that united band, who now tumbled down from the wall with horrid pains, for the oil did easily run down the whole body","from head to foot",", under their entire armor, and fed upon their flesh like flame itself. </s><s> Looking south along the west wall of the Old City","that united band, who now tumbled down from the wall with horrid pains, for the oil did easily run down the whole body from head to foot , under their entire armor, and fed upon their flesh like flame itself.","that united band, who now tumbled down from the wall with horrid pains, for the oil did easily run down the whole body from head to foot , under their entire armor, and fed upon their flesh like flame itself.  Looking south along the west wall of the Old City",1,1,-1,-1,6.55901791305844e-07
136786,136786,"c26en_8012","c26","c26en","en","c","intertextuality","ancient_sources","elfinspell.com","and the door undid. </s><s> ""Keep dark!"" </s><s> said he, ""While I squint an'' see what the'' is to see."" </s><s> As knights of old put on their mail, –","From head to foot","an iron suit, Iron jacket and iron boot, 137 Iron breeches, and on the head No hat, but an iron pot instead, And under the","As knights of old put on their mail, – From head to foot an iron suit, Iron jacket and iron boot, 137 Iron breeches, and on the head No hat, but an iron pot instead, And under the","and the door undid.  ""Keep dark!""  said he, ""While I squint an'' see what the'' is to see.""  As knights of old put on their mail, – From head to foot an iron suit, Iron jacket and iron boot, 137 Iron breeches, and on the head No hat, but an iron pot instead, And under the",1,1,0,0,6.55901791305844e-07
132922,132922,"c26en_4148","c26","c26en","en","c","intertextuality","ancient_sources","racked.com","shirt out of acid-wash denim and then I made it an acid-wash denim tuxedo, but with a pirate shirt so he was in acid wash","from head to toe",", but the top was the pirate shirt,"" she says. </s><s> ""It was really funny."" </s><s> That kind of get-up would seem unbelievable, but","shirt out of acid-wash denim and then I made it an acid-wash denim tuxedo, but with a pirate shirt so he was in acid wash from head to toe , but the top was the pirate shirt,"" she says.","shirt out of acid-wash denim and then I made it an acid-wash denim tuxedo, but with a pirate shirt so he was in acid wash from head to toe , but the top was the pirate shirt,"" she says.  ""It was really funny.""  That kind of get-up would seem unbelievable, but",2,3,0,0,6.55901791305844e-07
129450,129450,"c26en_676","c26","c26en","en","c","intertextuality","ancient_sources","jphip.com","undressing. </s><s> It was just removing her clothes but to Mariko the sight of it was well...hot. </s><s> Mariko looked at Haruna","from head to toe",". </s><s> She gulped and felt her heart beat race. </s><s> She''s beautiful, she thought. </s><s> To her, Haruna is the most beautiful woman that","Mariko looked at Haruna from head to toe .","undressing.  It was just removing her clothes but to Mariko the sight of it was well...hot.  Mariko looked at Haruna from head to toe .  She gulped and felt her heart beat race.  She''s beautiful, she thought.  To her, Haruna is the most beautiful woman that",5,2,0,1,6.55901791305844e-07
134116,134116,"c26en_5342","c26","c26en","en","c","intertextuality","ancient_sources","susansmithjones.com","body from head to toe and keep you in the pink. </s><s> The effacacious Vital Reaction® H2Inhaler and Tablets will heal your body","from head to toe","and fast-track you to high-level wellness. </s><s> Use the code SUSAN10 to get a 10% discount on both and FREE SHIPPING within","The effacacious Vital Reaction® H2Inhaler and Tablets will heal your body from head to toe and fast-track you to high-level wellness.","body from head to toe and keep you in the pink.  The effacacious Vital Reaction® H2Inhaler and Tablets will heal your body from head to toe and fast-track you to high-level wellness.  Use the code SUSAN10 to get a 10% discount on both and FREE SHIPPING within",5,5,1,1,6.55901791305844e-07
131912,131912,"c26en_3138","c26","c26en","en","c","intertextuality","ancient_sources","dailycrow.com","overflow, for their wickedness is great. </s><s> Joel 3:13 </s><s> Heights – the measurement from base to top or (of a standing person)","from head to foot",". </s><s> A high place or area. </s><s> You built yourself a high place at the top of every street and made your beauty abominable, and you","Joel 3:13  Heights – the measurement from base to top or (of a standing person) from head to foot .","overflow, for their wickedness is great.  Joel 3:13  Heights – the measurement from base to top or (of a standing person) from head to foot .  A high place or area.  You built yourself a high place at the top of every street and made your beauty abominable, and you",5,1,0,1,6.55901791305844e-07
137230,137230,"c26en_8456","c26","c26en","en","c","intertextuality","ancient_sources","keepbelieving.com","your shield."" </s><s> We should not think of a small shield that covers only the chest area, but rather of a shield that stretches","from head to toe","and completely protects every part of the soldier''s body. </s><s> Such a shield offers complete protection from every attack","We should not think of a small shield that covers only the chest area, but rather of a shield that stretches from head to toe and completely protects every part of the soldier''s body.","your shield.""  We should not think of a small shield that covers only the chest area, but rather of a shield that stretches from head to toe and completely protects every part of the soldier''s body.  Such a shield offers complete protection from every attack",4,5,0,0,6.55901791305844e-07
129181,129181,"c26en_407","c26","c26en","en","c","intertextuality","ancient_sources","newworldencyclopedia.org","women and infants under two months of age. </s><s> It is available over-the-counter. </s><s> Medications typically are applied","from head to foot","(avoiding the eyes and mouth) and left on overnight (Jacques 2008). </s><s> A single dose of ivermectin has been reported to","Medications typically are applied from head to foot (avoiding the eyes and mouth) and left on overnight (Jacques 2008).","women and infants under two months of age.  It is available over-the-counter.  Medications typically are applied from head to foot (avoiding the eyes and mouth) and left on overnight (Jacques 2008).  A single dose of ivermectin has been reported to",3,4,0,0,6.55901791305844e-07
132100,132100,"c26en_3326","c26","c26en","en","c","intertextuality","ancient_sources","faithfreedom.org","Zyad and other Arab poets. </s><s> Thanks. </s><s> Ashiq Zubair''s 2nd response: </s><s> You know let me tell you something, you make me laugh","from head to toes",", thinking I am a terrorist!! </s><s> Thats a good one bro. </s><s> You are smart arent you. </s><s> Let me tell you something, you are even more","Ashiq Zubair''s 2nd response:  You know let me tell you something, you make me laugh from head to toes , thinking I am a terrorist!!","Zyad and other Arab poets.  Thanks.  Ashiq Zubair''s 2nd response:  You know let me tell you something, you make me laugh from head to toes , thinking I am a terrorist!!  Thats a good one bro.  You are smart arent you.  Let me tell you something, you are even more",1,1,1,1,6.55901791305844e-07
